ag_section	bn_topics	ag_says	bn_says
365	bn-186-the-dative	365. Verbs which in the active voice take the accusative and dative retain the dative when	The Dative
367	bn-186-the-dative	367. Many verbs signifying to favor, help, please, trust, and their contraries; also to be	The Dative
368	bn-186-the-dative	368. The dative is used: With the impersonals libet (lubet, it pleases) and licet it is al	The Dative
370	bn-186-the-dative	370. Many verbs compounded with ad, ante, con, in, inter, ob, post, prae, prō, sub, super,	The Dative
372	bn-186-the-dative	372. Intransitive verbs that govern the Dative are used impersonally in the passive (§ 208	The Dative
373	bn-186-the-dative	373. The dative is used with esse and similar words to denote possession. Est mihi domī pa	The Dative
374	bn-186-the-dative	374. The Dative of the Agent is used with the gerundive to denote the person on whom the n	The Dative
377	bn-186-the-dative	377. The Dative of Reference is often used to qualify a whole idea, instead of the possess	The Dative
380	bn-186-the-dative	380. The dative of the personal pronouns is used to show a certain interest felt by the pe	The Dative
381	bn-186-the-dative	381. Many verbs of taking away and the like take the dative (especially of a person) inste	The Dative
382	bn-186-the-dative	382. The dative is used to denote the purpose or end, often with another dative of the per	The Dative
384	bn-186-the-dative	384. The dative is used with adjectives (and a few Adverbs) of fitness, nearness, likeness	The Dative
390	bn-172-the-accusative	390. An intransitive verb often takes the accusative of a noun of kindred meaning, usually	The Accusative
393	bn-172-the-accusative	393. Verbs of naming, choosing, appointing, making, esteeming, showing, and the like, may 	The Accusative
395	bn-172-the-accusative	395. Transitive verbs compounded with prepositions sometimes take (in addition to the dire	The Accusative
396	bn-172-the-accusative	396. Some verbs of asking and teaching may take two accusatives, one of the person (direct	The Accusative
397	bn-172-the-accusative	397. The accusative has the following special uses. a. The accusative is found in a few ad	The Accusative
401	bn-214-genuine-ablative-uses	401. Verbs meaning to remove, set free, be absent, deprive, and want, take the ablative (s	Genuine Ablative Uses
402	bn-214-genuine-ablative-uses	402. Verbs compounded with ā, ab, dē, ex, (1) take the simple ablative when used figurativ	Genuine Ablative Uses
403	bn-214-genuine-ablative-uses	403. The ablative (usually with a preposition) is used to denote the source from which any	Genuine Ablative Uses
404	bn-218-instrumental-uses-of-the-ablative	404. The ablative (with or without a preposition) is used to express cause.1 Neglegentiā p	Instrumental Uses of the Ablative
405	bn-214-genuine-ablative-uses	405. The voluntary agent after a passive verb is expressed by the ablative with ā or ab. L	Genuine Ablative Uses
406	bn-214-genuine-ablative-uses	406. The comparative degree is often followed by the ablative1 signifying than. Catō est C	Genuine Ablative Uses
407	bn-214-genuine-ablative-uses	407. The comparative may be followed by quam (than). When quam is used, the two things com	Genuine Ablative Uses
409	bn-218-instrumental-uses-of-the-ablative	409. The ablative is used to denote the means or instrument of an action. certantēs pūgnīs	Instrumental Uses of the Ablative
410	bn-218-instrumental-uses-of-the-ablative	410. The deponents ūtor, fruor, fungor, potior, vescor, with several of their compounds,1 	Instrumental Uses of the Ablative
411	bn-218-instrumental-uses-of-the-ablative	411. Opus and ūsus, signifying need, take the ablative.2 Magistrātibus opus est. (Leg. 3.5	Instrumental Uses of the Ablative
412	bn-218-instrumental-uses-of-the-ablative	412. The manner of an action is denoted by the ablative; usually with cum, unless a limiti	Instrumental Uses of the Ablative
413	bn-218-instrumental-uses-of-the-ablative	413. Accompaniment is denoted by the ablative, regularly with cum. cum coniugibus ac līber	Instrumental Uses of the Ablative
414	bn-218-instrumental-uses-of-the-ablative	414. With comparatives and words implying comparison the ablative is used to denote the De	Instrumental Uses of the Ablative
415	bn-218-instrumental-uses-of-the-ablative	415. The quality of a thing is denoted by the ablative with an adjective or genitive modif	Instrumental Uses of the Ablative
416	bn-218-instrumental-uses-of-the-ablative	416. The price of a thing is put in the ablative. Agrum vēndidit sēstertium sex mīlibus.He	Instrumental Uses of the Ablative
417	bn-195-genitive-with-nouns	417. Certain adjectives of quantity are used in the genitive to denote indefinite value. S	Genitive with Nouns
418	bn-218-instrumental-uses-of-the-ablative	418. The Ablative of Specification denotes that in respect to which anything is or is done	Instrumental Uses of the Ablative
419	bn-218-instrumental-uses-of-the-ablative	419. A noun or pronoun, with a participle in agreement, may be put in the ablative to defi	Instrumental Uses of the Ablative
420	bn-218-instrumental-uses-of-the-ablative	420. The Ablative Absolute often take the place of a subordinate clause. Thus it may repla	Instrumental Uses of the Ablative
423	bn-228-locative-uses-of-the-ablative,bn-172-the-accusative	423. Time when, or within which, is expressed by the ablative; time how long by the accusa	Locative Uses of the Ablative; The Accusative
425	bn-172-the-accusative	425. Extent of Space is expressed by the accusative. fossās quīndecim pedēs lātās (B. G. 7	The Accusative
426	bn-228-locative-uses-of-the-ablative,bn-172-the-accusative	426. Relations of Place1 are expressed as follows. The place from which, by the ablative w	Locative Uses of the Ablative; The Accusative
427	bn-232-the-locative,bn-228-locative-uses-of-the-ablative	427. With names of towns and small islands, and with domus and rūs, the Relations of Place	The Locative; Locative Uses of the Ablative
430	bn-228-locative-uses-of-the-ablative	430. Verbs of placing, though implying motion, take the construction of the place where. S	Locative Uses of the Ablative
431	bn-218-instrumental-uses-of-the-ablative	431. Several verbs are followed by the ablative. These are acquiēscō, dēlector, laetor, ga	Instrumental Uses of the Ablative
432	bn-141-prepositions	432. Certain adverbs and adjectives are sometimes used as prepositions.1 a. The adverbs pr	Prepositions
433	bn-141-prepositions	433. Prepositions often retain their original meaning as adverbs. Ante and post in relatio	Prepositions
434	bn-291-antequam-and-priusquam-with-the	434. Some prepositions and adverbs which imply comparison are followed, like comparatives,	Antequam and priusquam with the indicative
439	bn-274-hortatory-subjunctive,bn-275-jussive-subjunctive	439. The Hortatory Subjunctive is used in the present tense to express an exhortation or a	Hortatory Subjunctive; Jussive Subjunctive
440	bn-278-concessive-subjunctive	440. The Hortatory Subjunctive is used to express a concession.1 The present is used for p	Concessive Subjunctive
441	bn-279-optative-subjunctive	441. The optative subjunctive is used to express a wish. The present tense denotes the wis	Optative Subjunctive
444	bn-277-deliberative-subjunctive	444. The subjunctive is used in questions implying (1) doubt, indignation, or (2) an impos	Deliberative Subjunctive
447	bn-280-potential-subjunctive	447. The Potential Subjunctive has the following uses: In cautious or modest assertions in	Potential Subjunctive
448	bn-271-moods-in-independent-sentences	448. The imperative is used in commands and entreaties. Cōnsulite vōbīs, prōspicite patria	Moods in Independent Sentences
449	bn-271-moods-in-independent-sentences	449. The future imperative is used in commands, etc., where there is a distinct reference 	Moods in Independent Sentences
450	bn-276-prohibitive-subjunctive	450. Prohibition is regularly expressed in classic prose (1) by nōlī with the infinitive, 	Prohibitive Subjunctive
452	bn-326-the-infinitive	452. The infinitive, with or without a subject accusative, may be used with est and simila	The Infinitive
454	bn-326-the-infinitive	454. The infinitive is used as the apparent subject with many impersonal verbs and express	The Infinitive
456	bn-326-the-infinitive	456. Verbs which imply another action of the same subject to complete their meaning take t	The Infinitive
459	bn-314-moods-in-indirect-discourse	459. The infinitive with subject accusative is used with verbs and other expressions of kn	Moods in Indirect Discourse
462	bn-326-the-infinitive	462. The infinitive, with subject accusative,1 may be used in exclamations (cf. § 397. d).	The Infinitive
